date,day_of_week,blood_group,blood_product,units_used
2020-01-04,Saturday,B-,Platelets,6
2020-01-04,Saturday,B+,RBC,5
2020-01-04,Saturday,B+,Plasma,5
2020-01-04,Saturday,B+,Platelets,7
2020-01-04,Saturday,B-,RBC,4
2020-01-04,Saturday,A-,Platelets,3
2020-01-05,Sunday,AB-,RBC,2
2020-01-05,Sunday,AB+,Platelets,7
2020-01-05,Sunday,AB-,Plasma,4
2020-01-05,Sunday,AB-,Platelets,6
2020-01-05,Sunday,O+,RBC,7
2020-01-05,Sunday,O+,Platelets,13
2020-01-05,Sunday,AB+,Plasma,9
2020-01-05,Sunday,O-,RBC,4
2020-01-05,Sunday,O-,Plasma,5
2020-01-05,Sunday,O-,Platelets,8
2020-01-05,Sunday,O+,Plasma,13
2020-01-05,Sunday,AB+,RBC,5
2020-01-05,Sunday,B-,Platelets,8
2020-01-05,Sunday,B-,Plasma,4
2020-01-05,Sunday,B-,RBC,7
2020-01-05,Sunday,B+,Platelets,7
2020-01-05,Sunday,B+,Plasma,11
2020-01-05,Sunday,B+,RBC,12
2020-01-05,Sunday,A-,Platelets,5
2020-01-05,Sunday,A-,Plasma,7
2020-01-05,Sunday,A-,RBC,9
2020-01-05,Sunday,A+,Platelets,6
2020-01-05,Sunday,A+,Plasma,6
2020-01-05,Sunday,A+,RBC,8
2020-01-06,Monday,AB+,Plasma,0
2020-01-06,Monday,AB+,Platelets,0
2020-01-06,Monday,AB-,RBC,0
2020-01-06,Monday,AB-,Plasma,0
2020-01-06,Monday,AB-,Platelets,0
2020-01-06,Monday,O-,Plasma,0
2020-01-06,Monday,O+,Plasma,0
2020-01-06,Monday,O+,Platelets,0
2020-01-06,Monday,O-,RBC,4
2020-01-06,Monday,AB+,RBC,0
2020-01-06,Monday,O+,RBC,1
2020-01-06,Monday,O-,Platelets,0
2020-01-06,Monday,B-,Platelets,0
2020-01-06,Monday,B-,RBC,0
2020-01-06,Monday,A+,RBC,3
2020-01-06,Monday,A+,Plasma,1
2020-01-06,Monday,A+,Platelets,0
2020-01-06,Monday,A-,RBC,0
2020-01-06,Monday,B-,Plasma,0
2020-01-06,Monday,A-,Platelets,0
2020-01-06,Monday,B+,RBC,1
2020-01-06,Monday,B+,Plasma,0
2020-01-06,Monday,B+,Platelets,2
2020-01-06,Monday,A-,Plasma,3
2020-01-07,Tuesday,AB+,Plasma,0
2020-01-07,Tuesday,O-,Plasma,3
2020-01-07,Tuesday,O-,RBC,3
2020-01-07,Tuesday,O+,Platelets,3
2020-01-07,Tuesday,O+,Plasma,0
2020-01-07,Tuesday,O+,RBC,0
2020-01-07,Tuesday,AB-,Platelets,0
2020-01-07,Tuesday,AB-,Plasma,0
2020-01-07,Tuesday,AB-,RBC,3
2020-01-07,Tuesday,AB+,Platelets,0
2020-01-07,Tuesday,O-,Platelets,0
2020-01-07,Tuesday,AB+,RBC,0
2020-01-07,Tuesday,B-,Plasma,3
2020-01-07,Tuesday,B-,Platelets,0
2020-01-07,Tuesday,A+,RBC,1
2020-01-07,Tuesday,A+,Plasma,3
2020-01-07,Tuesday,A-,RBC,5
2020-01-07,Tuesday,A-,Plasma,0
2020-01-07,Tuesday,A+,Platelets,3
2020-01-07,Tuesday,B+,RBC,2
2020-01-07,Tuesday,B+,Plasma,0
2020-01-07,Tuesday,B+,Platelets,2
2020-01-07,Tuesday,B-,RBC,0
2020-01-07,Tuesday,A-,Platelets,0
2020-01-08,Wednesday,AB-,Platelets,0
2020-01-08,Wednesday,AB+,Platelets,3
2020-01-08,Wednesday,AB-,RBC,0
2020-01-08,Wednesday,AB-,Plasma,0
2020-01-08,Wednesday,O+,RBC,0
2020-01-08,Wednesday,AB+,Plasma,1
2020-01-08,Wednesday,O+,Platelets,1
2020-01-08,Wednesday,O-,RBC,4
2020-01-08,Wednesday,O-,Plasma,0
2020-01-08,Wednesday,O-,Platelets,0
2020-01-08,Wednesday,O+,Plasma,0
2020-01-08,Wednesday,AB+,RBC,1
2020-01-08,Wednesday,A-,Platelets,1
2020-01-08,Wednesday,B-,Plasma,0
2020-01-08,Wednesday,B-,RBC,0
2020-01-08,Wednesday,B+,Platelets,2
2020-01-08,Wednesday,B+,Plasma,0
2020-01-08,Wednesday,B+,RBC,3
2020-01-08,Wednesday,B-,Platelets,0
2020-01-08,Wednesday,A-,Plasma,1
2020-01-08,Wednesday,A-,RBC,2
2020-01-08,Wednesday,A+,Platelets,4
2020-01-08,Wednesday,A+,Plasma,1
2020-01-08,Wednesday,A+,RBC,2
2020-01-09,Thursday,AB+,Platelets,1
2020-01-09,Thursday,AB-,RBC,0
2020-01-09,Thursday,AB-,Plasma,0
2020-01-09,Thursday,AB-,Platelets,0
2020-01-09,Thursday,O+,RBC,0
2020-01-09,Thursday,O-,Platelets,0
2020-01-09,Thursday,O+,Platelets,0
2020-01-09,Thursday,O-,RBC,0
2020-01-09,Thursday,O-,Plasma,0
2020-01-09,Thursday,AB+,Plasma,0
2020-01-09,Thursday,O+,Plasma,0
2020-01-09,Thursday,AB+,RBC,0
2020-01-09,Thursday,B-,Platelets,0
2020-01-09,Thursday,B-,Plasma,0
2020-01-09,Thursday,A+,Plasma,0
2020-01-09,Thursday,A+,Platelets,2
2020-01-09,Thursday,A-,RBC,0
2020-01-09,Thursday,A-,Plasma,0
2020-01-09,Thursday,A+,RBC,1
2020-01-09,Thursday,B+,RBC,0
2020-01-09,Thursday,B+,Plasma,0
2020-01-09,Thursday,B+,Platelets,0
2020-01-09,Thursday,B-,RBC,0
2020-01-09,Thursday,A-,Platelets,0
2020-01-10,Friday,AB+,Platelets,18
2020-01-10,Friday,O-,Platelets,15
2020-01-10,Friday,O-,Plasma,17
2020-01-10,Friday,O-,RBC,11
2020-01-10,Friday,O+,Platelets,18
2020-01-10,Friday,O+,Plasma,17
2020-01-10,Friday,O+,RBC,19
2020-01-10,Friday,AB-,Platelets,13
2020-01-10,Friday,AB-,Plasma,14
2020-01-10,Friday,AB-,RBC,17
2020-01-10,Friday,AB+,Plasma,17
2020-01-10,Friday,AB+,RBC,6
2020-01-10,Friday,A+,RBC,15
2020-01-10,Friday,A+,Plasma,22
2020-01-10,Friday,A+,Platelets,16
2020-01-10,Friday,A-,RBC,17
2020-01-10,Friday,A-,Plasma,12
2020-01-10,Friday,A-,Platelets,15
2020-01-10,Friday,B-,Platelets,10
2020-01-10,Friday,B+,Plasma,13
2020-01-10,Friday,B+,Platelets,6
2020-01-10,Friday,B-,RBC,12
2020-01-10,Friday,B-,Plasma,21
2020-01-10,Friday,B+,RBC,17
2020-01-11,Saturday,AB+,Platelets,1
2020-01-11,Saturday,AB-,RBC,2
2020-01-11,Saturday,AB-,Plasma,4
2020-01-11,Saturday,AB-,Platelets,3
2020-01-11,Saturday,O+,RBC,12
2020-01-11,Saturday,O+,Platelets,4
2020-01-11,Saturday,O-,RBC,7
2020-01-11,Saturday,O-,Plasma,5
2020-01-11,Saturday,O-,Platelets,7
2020-01-11,Saturday,AB+,Plasma,10
2020-01-11,Saturday,O+,Plasma,7
2020-01-11,Saturday,B-,Platelets,4
2020-01-11,Saturday,B+,Platelets,7
2020-01-11,Saturday,B-,Plasma,1
2020-01-11,Saturday,B-,RBC,11
2020-01-11,Saturday,B+,Plasma,9
2020-01-11,Saturday,B+,RBC,9
2020-01-11,Saturday,A-,Platelets,9
2020-01-11,Saturday,A-,Plasma,8
2020-01-11,Saturday,A-,RBC,5
2020-01-11,Saturday,A+,Platelets,8
2020-01-11,Saturday,A+,Plasma,8
2020-01-11,Saturday,A+,RBC,3
2020-01-11,Saturday,AB+,RBC,6
2020-01-12,Sunday,AB-,Platelets,2
2020-01-12,Sunday,AB+,Platelets,4
2020-01-12,Sunday,AB-,RBC,11
2020-01-12,Sunday,AB-,Plasma,9
2020-01-12,Sunday,O+,RBC,4
2020-01-12,Sunday,AB+,Plasma,9
2020-01-12,Sunday,O+,Platelets,7
2020-01-12,Sunday,O-,RBC,10
2020-01-12,Sunday,O-,Plasma,8
2020-01-12,Sunday,O-,Platelets,6
2020-01-12,Sunday,O+,Plasma,11
2020-01-12,Sunday,AB+,RBC,6
2020-01-12,Sunday,A+,RBC,10
2020-01-12,Sunday,B-,Plasma,11
2020-01-12,Sunday,A+,Plasma,9
2020-01-12,Sunday,A+,Platelets,8
2020-01-12,Sunday,A-,RBC,8
2020-01-12,Sunday,A-,Plasma,6
2020-01-12,Sunday,B-,Platelets,2
2020-01-12,Sunday,B+,RBC,9
2020-01-12,Sunday,B+,Plasma,6
2020-01-12,Sunday,B+,Platelets,7
2020-01-12,Sunday,B-,RBC,6
2020-01-12,Sunday,A-,Platelets,1
2020-01-13,Monday,AB+,Platelets,0
2020-01-13,Monday,O-,Platelets,0
2020-01-13,Monday,O-,Plasma,1
2020-01-13,Monday,O-,RBC,1
2020-01-13,Monday,O+,Platelets,0
2020-01-13,Monday,O+,Plasma,0
2020-01-13,Monday,O+,RBC,2
2020-01-13,Monday,AB-,Platelets,0
2020-01-13,Monday,AB-,Plasma,3
2020-01-13,Monday,AB-,RBC,0
2020-01-13,Monday,AB+,Plasma,0
2020-01-13,Monday,AB+,RBC,1
2020-01-13,Monday,A+,RBC,5
2020-01-13,Monday,B-,Platelets,0
2020-01-13,Monday,A+,Plasma,2
2020-01-13,Monday,A+,Platelets,0
2020-01-13,Monday,A-,Plasma,0
2020-01-13,Monday,A-,Platelets,1
2020-01-13,Monday,A-,RBC,0
2020-01-13,Monday,B+,Plasma,0
2020-01-13,Monday,B+,Platelets,2
2020-01-13,Monday,B-,RBC,0
2020-01-13,Monday,B-,Plasma,1
2020-01-13,Monday,B+,RBC,0
2020-01-14,Tuesday,AB-,Platelets,0
2020-01-14,Tuesday,AB+,Platelets,0
2020-01-14,Tuesday,AB-,RBC,3
2020-01-14,Tuesday,AB-,Plasma,0
2020-01-14,Tuesday,O+,RBC,0
2020-01-14,Tuesday,AB+,Plasma,5
2020-01-14,Tuesday,O+,Platelets,0
2020-01-14,Tuesday,O-,RBC,0
2020-01-14,Tuesday,O-,Plasma,0
2020-01-14,Tuesday,O-,Platelets,0
2020-01-14,Tuesday,O+,Plasma,1
2020-01-14,Tuesday,AB+,RBC,1
2020-01-14,Tuesday,A+,RBC,0
2020-01-14,Tuesday,B-,Plasma,0
2020-01-14,Tuesday,B-,RBC,0
2020-01-14,Tuesday,B+,Platelets,0
2020-01-14,Tuesday,B+,Plasma,0
2020-01-14,Tuesday,B+,RBC,0
2020-01-14,Tuesday,A-,Platelets,1
2020-01-14,Tuesday,A-,Plasma,0
2020-01-14,Tuesday,A-,RBC,2
2020-01-14,Tuesday,A+,Platelets,3
2020-01-14,Tuesday,A+,Plasma,0
2020-01-14,Tuesday,B-,Platelets,0
2020-01-15,Wednesday,AB+,Platelets,11
2020-01-15,Wednesday,AB-,RBC,15
2020-01-15,Wednesday,AB-,Plasma,15
2020-01-15,Wednesday,AB-,Platelets,15
2020-01-15,Wednesday,O+,RBC,17
2020-01-15,Wednesday,O-,Platelets,8
2020-01-15,Wednesday,O+,Platelets,14
2020-01-15,Wednesday,O-,RBC,18
2020-01-15,Wednesday,O-,Plasma,11
2020-01-15,Wednesday,AB+,Plasma,20
2020-01-15,Wednesday,O+,Plasma,20
2020-01-15,Wednesday,AB+,RBC,16
2020-01-15,Wednesday,A-,Platelets,13
2020-01-15,Wednesday,B-,Plasma,17
2020-01-15,Wednesday,A+,RBC,22
2020-01-15,Wednesday,A+,Plasma,19
2020-01-15,Wednesday,A+,Platelets,23
2020-01-15,Wednesday,A-,RBC,22
2020-01-15,Wednesday,A-,Plasma,18
2020-01-15,Wednesday,B-,Platelets,12
2020-01-15,Wednesday,B+,RBC,10
2020-01-15,Wednesday,B+,Plasma,13
2020-01-15,Wednesday,B+,Platelets,18
2020-01-15,Wednesday,B-,RBC,16
2020-01-16,Thursday,O-,Platelets,0
2020-01-16,Thursday,O-,Plasma,0
2020-01-16,Thursday,O-,RBC,2
2020-01-16,Thursday,O+,Platelets,0
2020-01-16,Thursday,O+,Plasma,0
2020-01-16,Thursday,O+,RBC,0
2020-01-16,Thursday,AB-,Platelets,4
2020-01-16,Thursday,AB-,Plasma,2
2020-01-16,Thursday,AB+,Platelets,0
2020-01-16,Thursday,AB+,Plasma,2
2020-01-16,Thursday,AB+,RBC,0
2020-01-16,Thursday,AB-,RBC,1
2020-01-16,Thursday,B-,Plasma,4
2020-01-16,Thursday,B-,Platelets,0
2020-01-16,Thursday,A+,Plasma,0
2020-01-16,Thursday,A+,Platelets,3
2020-01-16,Thursday,A-,RBC,0
2020-01-16,Thursday,A-,Plasma,0
2020-01-16,Thursday,A+,RBC,0
2020-01-16,Thursday,B+,RBC,0
2020-01-16,Thursday,B+,Plasma,1
2020-01-16,Thursday,B+,Platelets,0
2020-01-16,Thursday,B-,RBC,1
2020-01-16,Thursday,A-,Platelets,0
2020-01-17,Friday,AB+,Plasma,3
2020-01-17,Friday,O-,Platelets,1
2020-01-17,Friday,O-,Plasma,0
2020-01-17,Friday,O-,RBC,0
2020-01-17,Friday,O+,Platelets,4
2020-01-17,Friday,O+,Plasma,2
2020-01-17,Friday,O+,RBC,0
2020-01-17,Friday,AB-,Platelets,0
2020-01-17,Friday,AB-,Plasma,0
2020-01-17,Friday,AB+,Platelets,0
2020-01-17,Friday,AB+,RBC,0
2020-01-17,Friday,AB-,RBC,3
2020-01-17,Friday,B-,Plasma,0
2020-01-17,Friday,A+,Plasma,0
2020-01-17,Friday,A+,Platelets,2
2020-01-17,Friday,A-,RBC,2
2020-01-17,Friday,A-,Plasma,1
2020-01-17,Friday,A-,Platelets,0
2020-01-17,Friday,A+,RBC,2
2020-01-17,Friday,B+,Plasma,2
2020-01-17,Friday,B+,RBC,8
2020-01-17,Friday,B-,RBC,0
2020-01-17,Friday,B-,Platelets,0
2020-01-17,Friday,B+,Platelets,2
2020-01-18,Saturday,AB+,RBC,3
2020-01-18,Saturday,O-,Plasma,2
2020-01-18,Saturday,O-,RBC,0
2020-01-18,Saturday,O+,Platelets,8
2020-01-18,Saturday,O-,Platelets,1
2020-01-18,Saturday,O+,RBC,8
2020-01-18,Saturday,AB-,Platelets,6
2020-01-18,Saturday,AB-,Plasma,3
2020-01-18,Saturday,AB-,RBC,6
2020-01-18,Saturday,AB+,Platelets,8
2020-01-18,Saturday,AB+,Plasma,5
2020-01-18,Saturday,O+,Plasma,7
2020-01-18,Saturday,B-,Platelets,8
2020-01-18,Saturday,B-,RBC,7
2020-01-18,Saturday,B+,Platelets,10
2020-01-18,Saturday,B+,Plasma,8
2020-01-18,Saturday,B+,RBC,9
2020-01-18,Saturday,A-,Platelets,6
2020-01-18,Saturday,A-,Plasma,3
2020-01-18,Saturday,A-,RBC,6
2020-01-18,Saturday,A+,Platelets,7
2020-01-18,Saturday,A+,Plasma,11
2020-01-18,Saturday,A+,RBC,14
2020-01-18,Saturday,B-,Plasma,2
2020-01-19,Sunday,AB+,Platelets,4
2020-01-19,Sunday,AB-,RBC,9
2020-01-19,Sunday,AB-,Plasma,2
2020-01-19,Sunday,AB-,Platelets,9
2020-01-19,Sunday,O+,RBC,8
2020-01-19,Sunday,O-,Platelets,5
2020-01-19,Sunday,O+,Platelets,12
2020-01-19,Sunday,O-,RBC,10
2020-01-19,Sunday,O-,Plasma,7
2020-01-19,Sunday,AB+,Plasma,4
2020-01-19,Sunday,O+,Plasma,4
2020-01-19,Sunday,AB+,RBC,6
2020-01-19,Sunday,A-,RBC,9
2020-01-19,Sunday,B-,Plasma,6
2020-01-19,Sunday,B-,Platelets,1
2020-01-19,Sunday,A+,Plasma,9
2020-01-19,Sunday,A+,Platelets,5
2020-01-19,Sunday,A-,Plasma,8
2020-01-19,Sunday,A+,RBC,3
2020-01-19,Sunday,B+,RBC,9
2020-01-19,Sunday,A-,Platelets,10
2020-01-19,Sunday,B+,Plasma,6
2020-01-19,Sunday,B+,Platelets,6
2020-01-19,Sunday,B-,RBC,10
2020-01-20,Monday,O-,Platelets,0
2020-01-20,Monday,O-,Plasma,0
2020-01-20,Monday,O-,RBC,0
2020-01-20,Monday,O+,Platelets,2
2020-01-20,Monday,O+,Plasma,0
2020-01-20,Monday,O+,RBC,0
2020-01-20,Monday,AB-,Platelets,2
2020-01-20,Monday,AB-,Plasma,2
2020-01-20,Monday,AB+,Platelets,3
2020-01-20,Monday,AB+,Plasma,0
2020-01-20,Monday,AB+,RBC,0
2020-01-20,Monday,AB-,RBC,0
2020-01-20,Monday,B-,Plasma,0
2020-01-20,Monday,B-,Platelets,0
2020-01-20,Monday,A+,Plasma,0
2020-01-20,Monday,A+,Platelets,0
2020-01-20,Monday,A-,RBC,3
2020-01-20,Monday,A-,Plasma,2
2020-01-20,Monday,A+,RBC,2
2020-01-20,Monday,B+,RBC,0
2020-01-20,Monday,B+,Plasma,1
2020-01-20,Monday,B+,Platelets,1
2020-01-20,Monday,B-,RBC,3
2020-01-20,Monday,A-,Platelets,0
2020-01-21,Tuesday,AB+,Platelets,1
2020-01-21,Tuesday,AB-,RBC,0
2020-01-21,Tuesday,AB-,Plasma,0
2020-01-21,Tuesday,AB-,Platelets,0
2020-01-21,Tuesday,O+,RBC,4
2020-01-21,Tuesday,O-,Platelets,2
2020-01-21,Tuesday,O+,Platelets,1
2020-01-21,Tuesday,O-,RBC,3
2020-01-21,Tuesday,O-,Plasma,0
2020-01-21,Tuesday,AB+,Plasma,3
2020-01-21,Tuesday,O+,Plasma,1
2020-01-21,Tuesday,AB+,RBC,0
2020-01-21,Tuesday,A-,RBC,0
2020-01-21,Tuesday,B-,Plasma,2
2020-01-21,Tuesday,B-,Platelets,0
2020-01-21,Tuesday,A+,Plasma,1
2020-01-21,Tuesday,A+,Platelets,1
2020-01-21,Tuesday,A-,Plasma,1
2020-01-21,Tuesday,A+,RBC,0
2020-01-21,Tuesday,B+,RBC,0
2020-01-21,Tuesday,B+,Plasma,0
2020-01-21,Tuesday,B+,Platelets,0
2020-01-21,Tuesday,B-,RBC,0
2020-01-21,Tuesday,A-,Platelets,2
2020-01-22,Wednesday,AB+,Plasma,1
2020-01-22,Wednesday,AB+,Platelets,1
2020-01-22,Wednesday,AB-,RBC,0
2020-01-22,Wednesday,AB-,Plasma,0
2020-01-22,Wednesday,AB-,Platelets,0
2020-01-22,Wednesday,O+,Plasma,2
2020-01-22,Wednesday,O+,Platelets,0
2020-01-22,Wednesday,O-,RBC,0
2020-01-22,Wednesday,O-,Platelets,4
2020-01-22,Wednesday,AB+,RBC,0
2020-01-22,Wednesday,O+,RBC,1
2020-01-22,Wednesday,O-,Plasma,0
2020-01-22,Wednesday,B-,Platelets,0
2020-01-22,Wednesday,B-,RBC,0
2020-01-22,Wednesday,A+,RBC,7
2020-01-22,Wednesday,A+,Plasma,0
2020-01-22,Wednesday,A+,Platelets,2
2020-01-22,Wednesday,A-,RBC,1
2020-01-22,Wednesday,B-,Plasma,0
2020-01-22,Wednesday,A-,Platelets,0
2020-01-22,Wednesday,B+,RBC,2
2020-01-22,Wednesday,B+,Plasma,0
2020-01-22,Wednesday,B+,Platelets,0
2020-01-22,Wednesday,A-,Plasma,0
2020-01-23,Thursday,AB+,Plasma,0
2020-01-23,Thursday,O-,Plasma,0
2020-01-23,Thursday,O-,RBC,0
2020-01-23,Thursday,O+,Platelets,2
2020-01-23,Thursday,O+,Plasma,3
2020-01-23,Thursday,O+,RBC,0
2020-01-23,Thursday,AB-,Platelets,0
2020-01-23,Thursday,AB-,Plasma,0
2020-01-23,Thursday,AB-,RBC,0
2020-01-23,Thursday,AB+,Platelets,0
2020-01-23,Thursday,AB+,RBC,0
2020-01-23,Thursday,O-,Platelets,0
2020-01-23,Thursday,B-,Plasma,1
2020-01-23,Thursday,A+,RBC,3
2020-01-23,Thursday,A+,Plasma,1
2020-01-23,Thursday,A+,Platelets,0
2020-01-23,Thursday,A-,RBC,2
2020-01-23,Thursday,A-,Plasma,0
2020-01-23,Thursday,B-,Platelets,1
2020-01-23,Thursday,B+,RBC,0
2020-01-23,Thursday,B+,Plasma,0
2020-01-23,Thursday,B+,Platelets,2
2020-01-23,Thursday,B-,RBC,1
2020-01-23,Thursday,A-,Platelets,1
2020-01-24,Friday,AB+,Plasma,2
2020-01-24,Friday,AB+,Platelets,1
2020-01-24,Friday,AB-,RBC,0
2020-01-24,Friday,AB-,Plasma,0
2020-01-24,Friday,AB-,Platelets,0
2020-01-24,Friday,O+,Plasma,3
2020-01-24,Friday,O+,Platelets,2
2020-01-24,Friday,O-,RBC,0
2020-01-24,Friday,O-,Plasma,0
2020-01-24,Friday,AB+,RBC,1
2020-01-24,Friday,O+,RBC,0
2020-01-24,Friday,O-,Platelets,2
2020-01-24,Friday,B-,Platelets,0
2020-01-24,Friday,B-,RBC,1
2020-01-24,Friday,B+,Platelets,0
2020-01-24,Friday,B+,Plasma,1
2020-01-24,Friday,B+,RBC,0
2020-01-24,Friday,A-,Platelets,4
2020-01-24,Friday,A-,Plasma,2
2020-01-24,Friday,A-,RBC,3
2020-01-24,Friday,A+,Platelets,2
2020-01-24,Friday,A+,Plasma,0
2020-01-24,Friday,A+,RBC,3
2020-01-24,Friday,B-,Plasma,0
2020-01-25,Saturday,AB+,Platelets,6
2020-01-25,Saturday,AB-,RBC,6
2020-01-25,Saturday,AB-,Plasma,6
2020-01-25,Saturday,AB-,Platelets,0
2020-01-25,Saturday,AB+,Plasma,9
2020-01-25,Saturday,O+,Plasma,8
2020-01-25,Saturday,O+,Platelets,2
2020-01-25,Saturday,O-,RBC,1
2020-01-25,Saturday,O-,Plasma,5
2020-01-25,Saturday,O+,RBC,7
2020-01-25,Saturday,AB+,RBC,10
2020-01-25,Saturday,O-,Platelets,4
2020-01-25,Saturday,B-,Plasma,10
2020-01-25,Saturday,A+,RBC,7
2020-01-25,Saturday,A+,Plasma,3
2020-01-25,Saturday,A+,Platelets,5
2020-01-25,Saturday,A-,RBC,6
2020-01-25,Saturday,A-,Plasma,9
2020-01-25,Saturday,B-,Platelets,10
2020-01-25,Saturday,B+,RBC,6
2020-01-25,Saturday,B+,Plasma,12
2020-01-25,Saturday,B+,Platelets,14
2020-01-25,Saturday,B-,RBC,1
2020-01-25,Saturday,A-,Platelets,6
2020-01-26,Sunday,O-,Platelets,6
2020-01-26,Sunday,O-,Plasma,10
2020-01-26,Sunday,O-,RBC,8
2020-01-26,Sunday,O+,Platelets,13
2020-01-26,Sunday,O+,Plasma,4
2020-01-26,Sunday,O+,RBC,10
2020-01-26,Sunday,AB-,Platelets,9
2020-01-26,Sunday,AB-,Plasma,5
2020-01-26,Sunday,AB+,Platelets,6
2020-01-26,Sunday,AB+,Plasma,11
2020-01-26,Sunday,AB+,RBC,0
2020-01-26,Sunday,AB-,RBC,6
2020-01-26,Sunday,B-,Plasma,5
2020-01-26,Sunday,A+,RBC,12
2020-01-26,Sunday,A+,Plasma,12
2020-01-26,Sunday,A+,Platelets,2
2020-01-26,Sunday,A-,RBC,7
2020-01-26,Sunday,A-,Plasma,5
2020-01-26,Sunday,B-,Platelets,3
2020-01-26,Sunday,B+,RBC,3
2020-01-26,Sunday,B+,Plasma,15
2020-01-26,Sunday,B+,Platelets,11
2020-01-26,Sunday,B-,RBC,7
2020-01-26,Sunday,A-,Platelets,5
2020-01-27,Monday,AB+,Plasma,0
2020-01-27,Monday,AB+,Platelets,2
2020-01-27,Monday,AB-,RBC,2
2020-01-27,Monday,AB-,Plasma,0
2020-01-27,Monday,AB-,Platelets,0
2020-01-27,Monday,O+,Plasma,0
2020-01-27,Monday,O+,Platelets,0
2020-01-27,Monday,O-,RBC,0
2020-01-27,Monday,O-,Plasma,3
2020-01-27,Monday,AB+,RBC,0
2020-01-27,Monday,O+,RBC,4
2020-01-27,Monday,O-,Platelets,3
2020-01-27,Monday,B-,Platelets,1
